CL_IP SV_IP CL_PR SV_PR UP_BY DW_BY TS_FP TS_LP CN_CL CN_SV CN_DQ HT_HN PROTO DT_FP CNAME
192.168.97.55 173.194.69.84 53361 443 1803 6543 1007.235107421875 "1970-01-01 00:00:09.567560303" accounts.google.com - - - TLS "1970-01-01 00:00:01.007235107" NONE
192.168.97.55 104.19.178.52 53362 443 1855 3792 1140.00341796875 "1970-01-01 00:00:09.562215332" cdn.cookielaw.org - cdn.cookielaw.org - TLS "1970-01-01 00:00:01.140003418" cdn.cookielaw.org
192.168.97.55 3.72.218.66 53363 443 3006 39632 1142.531494140625 "1970-01-01 00:00:09.586924316" startup.core.indazn.com core.indazn.com startup.core.indazn.com - TLS "1970-01-01 00:00:01.142531494" core.indazn.com
192.168.97.55 13.226.244.91 53364 443 1805 6198 1145.75830078125 "1970-01-01 00:00:09.569178467" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:01.145758301" acc.indazn.com
192.168.97.55 18.65.65.76 53365 443 1823 6175 1162.2783203125 "1970-01-01 00:00:09.574289307" - - static.dazndn.com - TLS "1970-01-01 00:00:01.162278320" static.dazndn.com
192.168.97.55 162.247.243.30 53366 443 13225 5462 1309.777099609375 "1970-01-01 00:00:09.552972412" bam-cell.nr-data.net - bam-cell.nr-data.net - TLS "1970-01-01 00:00:01.309777100" nr.data.net
192.168.97.55 13.226.244.13 53367 443 7442 7780 1574.928466796875 "1970-01-01 00:00:09.574150391" user-profile.ar.indazn.com - user-profile.ar.indazn.com - TLS "1970-01-01 00:00:01.574928467" ar.indazn.com
192.168.97.55 13.226.244.78 53368 443 1882 6223 2412.29443359375 "1970-01-01 00:00:09.574301514" - - resource-strings.acc.indazn.com - TLS "1970-01-01 00:00:02.412294434" acc.indazn.com
192.168.97.55 18.65.64.100 53369 443 2568 7065 2438.295166015625 "1970-01-01 00:00:09.574265137" - - pkg.fe.indazn.com - TLS "1970-01-01 00:00:02.438295166" fe.indazn.com
192.168.97.55 13.226.244.20 53371 443 1867 6179 2488.198486328125 "1970-01-01 00:00:09.574189453" - - youth-protection.dazn-api.com - TLS "1970-01-01 00:00:02.488198486" dazn.api.com
192.168.97.55 108.139.210.114 53372 443 4062 7799 2489.789306640625 "1970-01-01 00:00:09.574108398" - - authentication-prod.ar.indazn.com - TLS "1970-01-01 00:00:02.489789307" ar.indazn.com
192.168.97.55 18.65.82.54 53373 443 1807 6215 2507.05712890625 "1970-01-01 00:00:09.562581299" content-item.discovery.indazn.com - content-item.discovery.indazn.com - TLS "1970-01-01 00:00:02.507057129" discovery.indazn.com
192.168.97.55 108.139.210.38 53374 443 1832 6215 2515.12548828125 "1970-01-01 00:00:09.562718506" - - event.discovery.indazn.com - TLS "1970-01-01 00:00:02.515125487" discovery.indazn.com
192.168.97.55 18.65.82.123 53375 443 1801 6215 2515.50146484375 "1970-01-01 00:00:09.574277100" search.discovery.indazn.com - search.discovery.indazn.com - TLS "1970-01-01 00:00:02.515501465" discovery.indazn.com
192.168.97.55 52.222.130.37 53376 443 1865 6249 2521.59912109375 "1970-01-01 00:00:09.562706299" images.discovery.indazn.com - images.discovery.indazn.com - TLS "1970-01-01 00:00:02.521599121" discovery.indazn.com
192.168.97.55 18.65.82.84 53377 443 1818 6174 2533.04248046875 "1970-01-01 00:00:09.562730469" - - cdn.dazn.com - TLS "1970-01-01 00:00:02.533042480" cdn.dazn.com
192.168.97.55 142.250.186.78 53378 443 1808 6954 2692.060302734375 "1970-01-01 00:00:09.574201416" - - www.google-analytics.com - TLS "1970-01-01 00:00:02.692060303" google.analytics.com
192.168.97.55 18.65.82.125 53379 443 5994 8116 2993.218505859375 "1970-01-01 00:00:09.574240479" - - onboarding.indazn.com - TLS "1970-01-01 00:00:02.993218506" onboarding.indazn.com
192.168.97.55 13.226.244.109 53380 443 6040 8563 3041.40234375 "1970-01-01 00:00:09.569098389" subscriptions-service.ar.indazn.com - subscriptions-service.ar.indazn.com - TLS "1970-01-01 00:00:03.041402344" ar.indazn.com
192.168.97.55 108.139.229.123 53381 443 5018 18014 3041.650390625 "1970-01-01 00:00:09.574163330" - - tiered-pricing-offer-service.ar.indazn.com - TLS "1970-01-01 00:00:03.041650391" ar.indazn.com
192.168.97.55 3.125.212.229 53382 443 4291 6089 3042.985107421875 "1970-01-01 00:00:09.579518310" - partner-integration.ar.indazn.com partner-integration.ar.indazn.com - TLS "1970-01-01 00:00:03.042985107" ar.indazn.com
192.168.97.55 108.139.210.24 53383 443 9633 151828 3043.180419921875 "1970-01-01 00:00:09.574214355" - - rail-router.discovery.indazn.com - TLS "1970-01-01 00:00:03.043180420" discovery.indazn.com
192.168.97.55 172.64.155.119 53384 443 3329 6140 3046.738525390625 "1970-01-01 00:00:09.562741455" consent-api.onetrust.com - consent-api.onetrust.com - TLS "1970-01-01 00:00:03.046738525" api.onetrust.com
192.168.97.55 18.196.114.141 53385 443 7066 10699 3106.46044921875 "1970-01-01 00:00:09.579486328" - discovery.indazn.com segmentation-service-api.discovery.indazn.com - TLS "1970-01-01 00:00:03.106460449" discovery.indazn.com
192.168.97.55 151.101.242.49 53386 443 4442 8209 3109.39111328125 "1970-01-01 00:00:09.562273438" cdn.contentful.com cdn.contentful.com cdn.contentful.com - TLS "1970-01-01 00:00:03.109391113" cdn.contentful.com
192.168.97.55 108.139.229.122 53387 443 4237 9173 3110.58447265625 "1970-01-01 00:00:09.569195312" ott-authz-bff-prod.ar.indazn.com - ott-authz-bff-prod.ar.indazn.com - TLS "1970-01-01 00:00:03.110584473" ar.indazn.com
192.168.97.55 13.35.198.76 53388 443 4182 6797 3544.696533203125 "1970-01-01 00:00:09.574317139" wa.appsflyer.com - wa.appsflyer.com - TLS "1970-01-01 00:00:03.544696533" wa.appsflyer.com
192.168.97.55 52.222.130.61 53389 443 4317 7880 3817.3544921875 "1970-01-01 00:00:09.574175537" - - follow-shortcuts.discovery.indazn.com - TLS "1970-01-01 00:00:03.817354492" discovery.indazn.com
