DA TP FP TN FN SM RT TPR FPR ACC
0.5 7 92 190 14 303 4.21 33.3% 32.6% 65.0%
1.0 17 67 140 34 258 3.58 33.3% 32.4% 60.9%
1.5 21 54 111 42 228 3.17 33.3% 32.7% 57.9%
2.0 24 41 82 48 195 2.71 33.3% 33.3% 54.4%
2.5 24 35 70 48 177 2.46 33.3% 33.3% 53.1%
3.0 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
3.5 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
4.0 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
4.5 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
5.0 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
5.5 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
6.0 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
6.5 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
7.0 24 34 68 48 174 2.42 33.3% 33.3% 52.9%
7.5 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
8.0 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
8.5 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
9.0 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
9.5 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
10.0 24 33 66 48 171 2.38 33.3% 33.3% 52.6%
10.5 24 32 64 48 168 2.33 33.3% 33.3% 52.4%
11.0 24 32 64 48 168 2.33 33.3% 33.3% 52.4%
11.5 24 30 60 48 162 2.25 33.3% 33.3% 51.9%
12.0 24 31 59 48 162 2.25 33.3% 34.4% 51.2%
12.5 25 29 58 47 159 2.21 34.7% 33.3% 52.2%
13.0 27 29 55 45 156 2.17 37.5% 34.5% 52.6%
13.5 30 26 52 42 150 2.08 41.7% 33.3% 54.7%
14.0 30 26 52 42 150 2.08 41.7% 33.3% 54.7%
14.5 30 26 52 42 150 2.08 41.7% 33.3% 54.7%
15.0 31 26 52 41 150 2.08 43.1% 33.3% 55.3%
15.5 32 25 50 40 147 2.04 44.4% 33.3% 55.8%
16.0 31 25 50 41 147 2.04 43.1% 33.3% 55.1%
16.5 31 25 50 41 147 2.04 43.1% 33.3% 55.1%
17.0 32 26 49 40 147 2.04 44.4% 34.7% 55.1%
17.5 33 25 47 39 144 2.0 45.8% 34.7% 55.6%
18.0 33 23 46 39 141 1.96 45.8% 33.3% 56.0%
18.5 31 22 44 41 138 1.92 43.1% 33.3% 54.3%
19.0 31 22 44 41 138 1.92 43.1% 33.3% 54.3%
19.5 32 21 42 40 135 1.88 44.4% 33.3% 54.8%
20.0 33 11 22 39 105 1.46 45.8% 33.3% 52.4%
20.5 31 6 12 29 78 1.08 51.7% 33.3% 55.1%
