EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718789426516.1301	0.0	0.0
sniffer-on	1718789426516.1301	0.0	0.0
skygo-on	1718789426524.1978	8.067626953125	0.008067626953125
skysportuno-on	1718789469807.9883	43291.858154296875	43.291858154296875
skysportuno-off	1718789527807.8945	101291.76440429688	101.29176440429687
skysportcalcio-on	1718789541117.2961	114601.166015625	114.601166015625
skysportcalcio-off	1718789598117.5068	171601.37670898438	171.60137670898436
skysporttennis-on	1718789608432.109	181915.97875976562	181.91597875976564
skysporttennis-off	1718789651431.891	224915.76098632812	224.91576098632814
skygo-off	1718789664007.724	237491.59399414062	237.49159399414063
sniffer-off	1718789664141.751	237625.62084960938	237.62562084960936
