EVENT	UNIX_TS	FROM_ORIGIN_MS	FROM_ORIGIN_S
origin	1718790287467.5615	0.0	0.0
sniffer-on	1718790287467.5615	0.0	0.0
skygo-on	1718790287477.57	10.008544921875	0.010008544921875
skysportuno-on	1718790330863.375	43395.8134765625	43.3958134765625
skysportuno-off	1718790382866.9346	95399.373046875	95.399373046875
skysportcalcio-on	1718790396168.5764	108701.01489257812	108.70101489257813
skysportcalcio-off	1718790456168.3086	168700.7470703125	168.7007470703125
skysporttennis-on	1718790467417.097	179949.53540039062	179.94953540039063
skysporttennis-off	1718790524416.4165	236948.85498046875	236.94885498046875
skygo-off	1718790532001.4417	244533.88012695312	244.53388012695314
sniffer-off	1718790532129.4668	244661.9052734375	244.6619052734375
