CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 23.214.204.249 59922 443 1758.830810546875 0.0 507.035 507.035 16 1 15 10 763 3 763 0 0 17 0 17 1 45377 13 45377 1 0
192.168.2.55 140.82.121.4 59923 443 3728.2958984375 0.0 895.48 895.48 7 0 6 3 748 3 748 0 0 8 0 8 3 3762 4 3762 0 0
192.168.2.55 140.82.121.4 59924 443 4638.40478515625 0.0 333.063 333.063 24 1 23 18 744 3 744 0 0 27 0 27 4 53311 22 53311 0 0
192.168.2.55 140.82.121.4 59923 443 4919.61279296875 1191.317 1252.028 60.711 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 23.40.157.96 59925 443 4939.419677734375 0.0 603.429 603.429 11 0 10 5 2074 4 2074 0 0 13 1 12 1 13964 9 13964 0 0
192.168.2.55 172.64.155.249 59926 443 5324.0537109375 0.0 637.34 637.34 19 0 18 15 771 3 771 0 0 27 0 27 3 187594 23 187594 0 0
192.168.2.55 172.64.155.249 59926 443 6370.52978515625 1046.476 1151.487 105.011 2 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 104.18.32.7 59927 443 5963.974853515625 0.0 511.622 511.622 13 0 12 8 977 3 977 0 0 40 0 40 4 54135 34 54135 0 0
192.168.2.55 216.58.205.46 59928 443 6693.002685546875 0.0 372.903 372.903 53 0 52 48 765 3 765 0 0 63 0 63 4 146015 57 146015 0 0
192.168.2.55 23.40.157.96 59929 443 9412.848876953125 0.0 440.317 440.317 8 0 7 2 1667 4 1667 0 0 9 1 8 2 1856 4 1856 0 0
192.168.2.55 142.251.209.36 59930 443 9617.9638671875 0.0 445.039 445.039 12 0 11 7 764 3 764 0 0 14 0 14 4 15071 8 15071 0 0
192.168.2.55 104.120.111.190 59931 443 11840.727783203125 0.0 877.436 877.436 9 0 8 4 870 3 870 0 0 11 1 10 1 4921 5 4921 2 0
192.168.2.55 157.240.203.35 59932 443 12347.07373046875 0.0 773.054 773.054 15 0 14 10 750 3 750 0 0 22 0 22 4 26790 16 26790 0 0
192.168.2.55 23.52.38.143 59933 443 13123.11669921875 0.0 375.335 375.335 10 0 9 5 1654 3 1654 0 0 12 1 11 2 5891 6 5891 1 0
192.168.2.55 23.52.38.143 59935 443 13219.44189453125 0.0 776.605 776.605 9 0 8 4 1654 4 2665 1 1011 9 0 9 3 4595 4 4595 1 0
192.168.2.55 2.22.33.236 59942 443 14051.15087890625 0.0 450.846 450.846 9 1 8 3 748 3 748 0 0 12 0 12 4 7303 7 7303 0 0
192.168.2.55 23.52.38.143 59935 443 14464.91650390625 1245.475 1377.482 132.007 3 0 3 2 1306 1 1306 0 0 6 0 6 1 3731 5 4167 1 436
192.168.2.55 185.15.58.224 59943 443 15451.536865234375 0.0 961.873 961.873 13 0 12 8 767 3 767 0 0 14 0 14 3 28041 10 28041 0 0
192.168.2.55 185.15.58.224 59943 443 16514.69580078125 1063.159 1063.294 0.135 1 1 1 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 23.40.157.96 59948 443 16914.522705078125 0.0 404.189 404.189 8 1 7 4 517 1 517 0 0 9 0 9 1 11503 6 11503 0 0
192.168.2.55 23.40.157.96 59950 443 17165.058837890625 0.0 464.798 464.798 10 0 9 6 1221 3 1221 0 0 11 0 11 1 13413 9 13413 0 0
192.168.2.55 2.22.32.204 59973 443 18344.82568359375 0.0 278.364 278.364 5 1 4 1 517 1 517 0 0 7 0 7 1 6058 5 6058 0 0
192.168.2.55 2.22.32.204 59974 443 18345.473876953125 0.0 277.868 277.868 5 1 4 1 517 1 517 0 0 6 0 6 1 6058 4 6058 0 0
192.168.2.55 2.22.32.177 59959 443 17949.101806640625 0.0 997.899 997.899 183 0 182 164 2726 18 4053 1 1327 220 0 220 6 594026 212 595426 2 1400
192.168.2.55 104.244.42.129 59951 443 17342.435791015625 0.0 504.402 504.402 8 0 7 4 765 3 765 0 0 9 0 9 3 4405 5 5805 1 1400
192.168.2.55 104.244.42.129 59951 443 19133.49169921875 1791.056 1820.59 29.534 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 104.244.42.1 59975 443 18523.1025390625 0.0 642.829 642.829 9 1 8 3 755 3 755 0 0 11 0 11 4 10317 6 10317 0 0
192.168.2.55 63.140.62.27 59961 443 18039.4658203125 0.0 859.491 859.491 13 0 12 5 2722 7 3239 1 517 14 0 14 7 4859 6 5855 1 996
192.168.2.55 23.40.157.96 59970 443 18247.842529296875 0.0 495.299 495.299 8 0 7 3 1718 4 1718 0 0 9 0 9 2 7257 6 7257 0 0
192.168.2.55 23.40.157.96 59969 443 18245.61669921875 0.0 536.777 536.777 9 0 8 4 1718 4 1718 0 0 9 0 9 2 7957 6 7957 0 0
192.168.2.55 23.40.157.96 59972 443 18251.54052734375 0.0 530.842 530.842 8 0 7 3 1719 4 1719 0 0 8 0 8 2 3682 4 3682 1 0
